estado_match,tipo_asociacion,codigo_project,descripcion_project,project_id,outline_level,outline_number,parent_task_name,parent_codigo_project,ancestor_codes_project,ancestor_names_project,project_path,element_id_revit,unique_id_revit,category,family,type,name,btz_numero_activo,btz_path_actual,parametro_match,contenedor_sugerido_element_id,contenedor_sugerido_unique_id,contenedor_sugerido_path,contenedor_sugerido_nivel,slots_libres_contenedor,requiere_split_por_slots,puntaje_contenedor,segundo_puntaje_contenedor,diferencia_puntaje,criterio_contenedor,candidatos_contenedor,ancestro_project_usado,observacion,btz_description_01,btz_description_02,btz_description_03,btz_description_04,btz_description_05,btz_description_06,btz_description_07,btz_description_08,btz_description_09,btz_description_10,btz_description_11,btz_description_12,btz_description_13,btz_description_14,btz_description_15,btz_description_16,btz_description_17,btz_description_18,btz_description_19,btz_description_20,btz_description_21,btz_description_22,btz_description_23,btz_description_24,btz_description_25,btz_description_26,btz_description_27,btz_description_28,btz_description_29,btz_description_30,motivo_revision
contenedor_duplicado,contenedor_por_ancestro_project,P10-DSC-CCL-CVE14,CICLON VENT. ASP. VE14,6,5,6,P10-DSC-VNT-VE14,P10-DSC-VNT-VE14,P10-DSC-LGC-DESCASCARADO > P10-DSC-ASP-ASP4 > P10-DSC-VNT-VE14,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-ASP-ASP4 > P10-DSC-VNT-VE14,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-ASP-ASP4 > P10-DSC-VNT-VE14 > P10-DSC-CCL-CVE14,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,contenedor_scoring,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,3,27,NO,200,200,0,ancestro_project_exacto_duplicado,281184:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA || 378146:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS || 378268:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES || 378308:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCD 1RA || 378434:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA || 378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO || 378728:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,P10-DSC-LGC-DESCASCARADO,Ancestro Project P10-DSC-LGC-DESCASCARADO aparece en 7 contenedores.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-TOLVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,hay más de un contenedor candidato
contenedor_duplicado,contenedor_por_ancestro_project,P10-DSC-VLV-VR14,VALVULA ROTATIVA  VR14,7,5,7,P10-DSC-VNT-VE14,P10-DSC-VNT-VE14,P10-DSC-LGC-DESCASCARADO > P10-DSC-ASP-ASP4 > P10-DSC-VNT-VE14,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-ASP-ASP4 > P10-DSC-VNT-VE14,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-ASP-ASP4 > P10-DSC-VNT-VE14 > P10-DSC-VLV-VR14,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,contenedor_scoring,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,3,27,NO,200,200,0,ancestro_project_exacto_duplicado,281184:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA || 378146:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS || 378268:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES || 378308:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCD 1RA || 378434:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA || 378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO || 378728:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,P10-DSC-LGC-DESCASCARADO,Ancestro Project P10-DSC-LGC-DESCASCARADO aparece en 7 contenedores.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-TOLVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,hay más de un contenedor candidato
duplicado,elemento_puntual,P10-DSC-LGC-CONJUNTO,CONJUNTO DE CCC SEGUNDA PASADA DESCASCARADO P10,8,3,8,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-DESCASCARADO,P10 > P10-DSC-LGC-DESCASCARADO,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA,378308,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c5c4,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCD 1RA,btz_description_03,,,,,,,,,,,,,Código repetido en Project 2 veces. 2 elementos Revit contienen el código exacto.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-CONJUNTO CCD 1RA,,,,,,,,,,,,,,,,,,,,,,,,,,,,hay más de un elemento puntual posible
duplicado,elemento_puntual,P10-DSC-LGC-CONJUNTO,CONJUNTO DE CCC SEGUNDA PASADA DESCASCARADO P10,8,3,8,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-DESCASCARADO,P10 > P10-DSC-LGC-DESCASCARADO,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA,378434,ddbef6d8-5146-4ece-9a6f-82caaca14519-0005c642,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA,btz_description_03,,,,,,,,,,,,,Código repetido en Project 2 veces. 2 elementos Revit contienen el código exacto.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-CONJUNTO CCC 2DA,,,,,,,,,,,,,,,,,,,,,,,,,,,,hay más de un elemento puntual posible
contenedor_duplicado,contenedor_por_ancestro_project,P10-DSC-ART-ARTVE12,AEROTERMO VENT. ASP. VE12,9,4,9,P10-DSC-LGC-CONJUNTO CCC 2DA,P10-DSC-LGC-CONJUNTO,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA > P10-DSC-ART-ARTVE12,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,contenedor_scoring,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,3,27,NO,200,200,0,ancestro_project_exacto_duplicado,281184:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA || 378146:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS || 378268:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES || 378308:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCD 1RA || 378434:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA || 378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO || 378728:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,P10-DSC-LGC-DESCASCARADO,Ancestro Project P10-DSC-LGC-DESCASCARADO aparece en 7 contenedores.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-TOLVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,hay más de un contenedor candidato
contenedor_duplicado,contenedor_por_ancestro_project,P10-DSC-ART-ARTVE13,AEROTERMO VENT. ASP. VE13,10,4,10,P10-DSC-LGC-CONJUNTO CCC 2DA,P10-DSC-LGC-CONJUNTO,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA > P10-DSC-ART-ARTVE13,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,contenedor_scoring,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,3,27,NO,200,200,0,ancestro_project_exacto_duplicado,281184:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA || 378146:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS || 378268:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES || 378308:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCD 1RA || 378434:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA || 378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO || 378728:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,P10-DSC-LGC-DESCASCARADO,Ancestro Project P10-DSC-LGC-DESCASCARADO aparece en 7 contenedores.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-TOLVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,hay más de un contenedor candidato
contenedor_duplicado,contenedor_por_ancestro_project,P10-DSC-VNT-VE12,VENT. ASP. VE12 LINEA 1 DE CCC LADO ESTE,11,4,11,P10-DSC-LGC-CONJUNTO CCC 2DA,P10-DSC-LGC-CONJUNTO,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA > P10-DSC-VNT-VE12,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,contenedor_scoring,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,3,27,NO,200,200,0,ancestro_project_exacto_duplicado,281184:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA || 378146:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS || 378268:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES || 378308:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCD 1RA || 378434:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA || 378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO || 378728:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,P10-DSC-LGC-DESCASCARADO,Ancestro Project P10-DSC-LGC-DESCASCARADO aparece en 7 contenedores.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-TOLVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,hay más de un contenedor candidato
contenedor_duplicado,contenedor_por_ancestro_project,P10-DSC-CCL-CVE12,CICLON VENT. ASP. VE12 LINEA 1 DE CCC LADO ESTE,12,5,12,P10-DSC-VNT-VE12,P10-DSC-VNT-VE12,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO > P10-DSC-VNT-VE12,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA > P10-DSC-VNT-VE12,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA > P10-DSC-VNT-VE12 > P10-DSC-CCL-CVE12,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,contenedor_scoring,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,3,27,NO,200,200,0,ancestro_project_exacto_duplicado,281184:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA || 378146:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS || 378268:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES || 378308:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCD 1RA || 378434:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA || 378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO || 378728:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,P10-DSC-LGC-DESCASCARADO,Ancestro Project P10-DSC-LGC-DESCASCARADO aparece en 7 contenedores.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-TOLVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,hay más de un contenedor candidato
contenedor_duplicado,contenedor_por_ancestro_project,P10-DSC-VLV-VR12,VALVULA ROTATIVA VR12 LADO OESTE,13,5,13,P10-DSC-VNT-VE12,P10-DSC-VNT-VE12,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO > P10-DSC-VNT-VE12,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA > P10-DSC-VNT-VE12,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA > P10-DSC-VNT-VE12 > P10-DSC-VLV-VR12,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,contenedor_scoring,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,3,27,NO,200,200,0,ancestro_project_exacto_duplicado,281184:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA || 378146:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS || 378268:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES || 378308:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCD 1RA || 378434:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA || 378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO || 378728:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,P10-DSC-LGC-DESCASCARADO,Ancestro Project P10-DSC-LGC-DESCASCARADO aparece en 7 contenedores.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-TOLVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,hay más de un contenedor candidato
contenedor_duplicado,contenedor_por_ancestro_project,P10-DSC-VNT-VE13,VENT. ASP. VE13 LINEA 2 DE CCC LADO OESTE,14,4,14,P10-DSC-LGC-CONJUNTO CCC 2DA,P10-DSC-LGC-CONJUNTO,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA > P10-DSC-VNT-VE13,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,contenedor_scoring,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,3,27,NO,200,200,0,ancestro_project_exacto_duplicado,281184:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA || 378146:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS || 378268:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES || 378308:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCD 1RA || 378434:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA || 378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO || 378728:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,P10-DSC-LGC-DESCASCARADO,Ancestro Project P10-DSC-LGC-DESCASCARADO aparece en 7 contenedores.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-TOLVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,hay más de un contenedor candidato
contenedor_duplicado,contenedor_por_ancestro_project,P10-DSC-CCL-CVE13,CICLON VENT. ASP. VE13 LINEA 2 DE CCC LADO OESTE,15,5,15,P10-DSC-VNT-VE13,P10-DSC-VNT-VE13,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO > P10-DSC-VNT-VE13,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA > P10-DSC-VNT-VE13,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA > P10-DSC-VNT-VE13 > P10-DSC-CCL-CVE13,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,contenedor_scoring,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,3,27,NO,200,200,0,ancestro_project_exacto_duplicado,281184:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA || 378146:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS || 378268:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES || 378308:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCD 1RA || 378434:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA || 378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO || 378728:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,P10-DSC-LGC-DESCASCARADO,Ancestro Project P10-DSC-LGC-DESCASCARADO aparece en 7 contenedores.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-TOLVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,hay más de un contenedor candidato
contenedor_duplicado,contenedor_por_ancestro_project,P10-DSC-VLV-VR13,VALVULA ROTATIVA  VR13 LADO ESTE,16,5,16,P10-DSC-VNT-VE13,P10-DSC-VNT-VE13,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO > P10-DSC-VNT-VE13,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA > P10-DSC-VNT-VE13,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA > P10-DSC-VNT-VE13 > P10-DSC-VLV-VR13,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,contenedor_scoring,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,3,27,NO,200,200,0,ancestro_project_exacto_duplicado,281184:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA || 378146:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS || 378268:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES || 378308:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCD 1RA || 378434:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA || 378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO || 378728:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,P10-DSC-LGC-DESCASCARADO,Ancestro Project P10-DSC-LGC-DESCASCARADO aparece en 7 contenedores.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-TOLVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,hay más de un contenedor candidato
contenedor_duplicado,contenedor_por_ancestro_project,P10-DSC-ART-ARTVE68-69,AEROTERMO VENT. ASP. VE68-VE69,18,4,18,P10-DSC-LGC-CONJUNTO CCD 1RA,P10-DSC-LGC-CONJUNTO,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCD 1RA,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCD 1RA > P10-DSC-ART-ARTVE68-69,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,contenedor_scoring,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,3,27,NO,200,200,0,ancestro_project_exacto_duplicado,281184:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA || 378146:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS || 378268:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES || 378308:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCD 1RA || 378434:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA || 378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO || 378728:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,P10-DSC-LGC-DESCASCARADO,Ancestro Project P10-DSC-LGC-DESCASCARADO aparece en 7 contenedores.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-TOLVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,hay más de un contenedor candidato
contenedor_duplicado,contenedor_por_ancestro_project,P10-DSC-VNT-VE68,ASPIRACION LINEA 1 CCC DESC 1RA PASADA,19,4,19,P10-DSC-LGC-CONJUNTO CCD 1RA,P10-DSC-LGC-CONJUNTO,P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCD 1RA,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCD 1RA > P10-DSC-VNT-VE68,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,Roofs,,Genérico - 400 mm,Genérico - 400 mm,,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,contenedor_scoring,281184,a027b4da-4e9c-44ad-b607-5fb48d4c7061-00044a60,P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA,3,27,NO,200,200,0,ancestro_project_exacto_duplicado,281184:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-TOLVA || 378146:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-ZARANDAS || 378268:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-QUEBRADORES || 378308:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCD 1RA || 378434:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-CONJUNTO CCC 2DA || 378617:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-MOLINO || 378728:200:P10 > P10-DSC-LGC-DESCASCARADO > P10-DSC-LGC-REDLER,P10-DSC-LGC-DESCASCARADO,Ancestro Project P10-DSC-LGC-DESCASCARADO aparece en 7 contenedores.,P10,P10-DSC-LGC-DESCASCARADO,P10-DSC-LGC-TOLVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,hay más de un contenedor candidato
