fecha,project_xml,planta,element_id,unique_id,nodo_project_seleccionado,codigo_no_escrito,motivo
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR4S-SKW5,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIRSKW-41-80N,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR1N-SKW10,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR1N-SKW7,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR1N-SKW8,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR1N-SKW9,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR1S-SKW10,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR1S-SKW7,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR1S-SKW8,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR1S-SKW9,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR2N-SKW10,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR2N-SKW7,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR2N-SKW8,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR2N-SKW9,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR2S-SKW10,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR2S-SKW7,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR2S-SKW8,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR2S-SKW9,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR3N-SKW10,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR3N-SKW7,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR3N-SKW8,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR3N-SKW9,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR3S-SKW10,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR3S-SKW7,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR3S-SKW8,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR3S-SKW9,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR4N-SKW10,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR4N-SKW7,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR4N-SKW8,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR4N-SKW9,supera_80_btz_description
2026-05-05 09:49:09,C:\Users\Usuario\AppData\Roaming\pyRevit\Extensions\btz.extension\public\project\PR.xml,PR,183748,44e23cee-ddf9-45d1-a522-17a396cbe67a-0002cdc4,PR-PLYMP-LGC-SILOS,PR-PLYMP-VNT-AIR4S-SKW10,supera_80_btz_description
